[['tropical fruit'], 1032, '->', ['citrus fruit'], 814, 0.18992248062015504]
[['citrus fruit'], 814, '->', ['tropical fruit'], 1032, 0.24078624078624078]
[['yogurt'], 1372, '->', ['citrus fruit'], 814, 0.1552478134110787]
[['citrus fruit'], 814, '->', ['yogurt'], 1372, 0.2616707616707617]
[['whole milk'], 2513, '->', ['citrus fruit'], 814, 0.1193792280143255]
[['citrus fruit'], 814, '->', ['whole milk'], 2513, 0.36855036855036855]
[['pip fruit'], 744, '->', ['citrus fruit'], 814, 0.1827956989247312]
[['citrus fruit'], 814, '->', ['pip fruit'], 744, 0.16707616707616707]
[['other vegetables'], 1903, '->', ['citrus fruit'], 814, 0.14923804519180242]
[['citrus fruit'], 814, '->', ['other vegetables'], 1903, 0.3488943488943489]
[['citrus fruit'], 814, '->', ['rolls/buns'], 1809, 0.20270270270270271]
[['bottled water'], 1087, '->', ['citrus fruit'], 814, 0.12235510579576817]
[['citrus fruit'], 814, '->', ['bottled water'], 1087, 0.16339066339066338]
[['citrus fruit'], 814, '->', ['soda'], 1715, 0.1547911547911548]
[['fruit/vegetable juice'], 711, '->', ['citrus fruit'], 814, 0.14345991561181434]
[['citrus fruit'], 814, '->', ['fruit/vegetable juice'], 711, 0.12530712530712532]
[['root vegetables'], 1072, '->', ['citrus fruit'], 814, 0.1623134328358209]
[['citrus fruit'], 814, '->', ['root vegetables'], 1072, 0.21375921375921375]
[['sausage'], 924, '->', ['citrus fruit'], 814, 0.12012987012987013]
[['citrus fruit'], 814, '->', ['sausage'], 924, 0.13636363636363635]
[['whipped/sour cream'], 705, '->', ['citrus fruit'], 814, 0.15177304964539007]
[['citrus fruit'], 814, '->', ['whipped/sour cream'], 705, 0.13144963144963145]
[['domestic eggs'], 624, '->', ['citrus fruit'], 814, 0.16346153846153846]
[['citrus fruit'], 814, '->', ['domestic eggs'], 624, 0.12530712530712532]
[['yogurt'], 1372, '->', ['margarine'], 576, 0.10204081632653061]
[['margarine'], 576, '->', ['yogurt'], 1372, 0.24305555555555555]
[['margarine'], 576, '->', ['whole milk'], 2513, 0.4131944444444444]
[['other vegetables'], 1903, '->', ['margarine'], 576, 0.10194429847609038]
[['margarine'], 576, '->', ['other vegetables'], 1903, 0.3368055555555556]
[['margarine'], 576, '->', ['rolls/buns'], 1809, 0.2517361111111111]
[['margarine'], 576, '->', ['bottled water'], 1087, 0.1753472222222222]
[['root vegetables'], 1072, '->', ['margarine'], 576, 0.10167910447761194]
[['margarine'], 576, '->', ['root vegetables'], 1072, 0.1892361111111111]
[['yogurt'], 1372, '->', ['tropical fruit'], 1032, 0.2099125364431487]
[['tropical fruit'], 1032, '->', ['yogurt'], 1372, 0.27906976744186046]
[['whole milk'], 2513, '->', ['tropical fruit'], 1032, 0.1655391961798647]
[['tropical fruit'], 1032, '->', ['whole milk'], 2513, 0.40310077519379844]
[['pip fruit'], 744, '->', ['tropical fruit'], 1032, 0.2701612903225806]
[['tropical fruit'], 1032, '->', ['pip fruit'], 744, 0.19476744186046513]
[['other vegetables'], 1903, '->', ['tropical fruit'], 1032, 0.18549658434051497]
[['tropical fruit'], 1032, '->', ['other vegetables'], 1903, 0.34205426356589147]
[['rolls/buns'], 1809, '->', ['tropical fruit'], 1032, 0.1337755666113875]
[['tropical fruit'], 1032, '->', ['rolls/buns'], 1809, 0.23449612403100775]
[['bottled water'], 1087, '->', ['tropical fruit'], 1032, 0.16743330266789327]
