[['semi-finished bread'], 174, '->', ['citrus fruit'], 814, 0.13793103448275862]
[['margarine'], 576, '->', ['citrus fruit'], 814, 0.13541666666666666]
[['tropical fruit'], 1032, '->', ['citrus fruit'], 814, 0.18992248062015504]
[['citrus fruit'], 814, '->', ['tropical fruit'], 1032, 0.24078624078624078]
[['yogurt'], 1372, '->', ['citrus fruit'], 814, 0.1552478134110787]
[['citrus fruit'], 814, '->', ['yogurt'], 1372, 0.2616707616707617]
[['coffee'], 571, '->', ['citrus fruit'], 814, 0.11033274956217162]
[['whole milk'], 2513, '->', ['citrus fruit'], 814, 0.1193792280143255]
[['citrus fruit'], 814, '->', ['whole milk'], 2513, 0.36855036855036855]
[['pip fruit'], 744, '->', ['citrus fruit'], 814, 0.1827956989247312]
[['citrus fruit'], 814, '->', ['pip fruit'], 744, 0.16707616707616707]
[['cream cheese'], 390, '->', ['citrus fruit'], 814, 0.14358974358974358]
[['other vegetables'], 1903, '->', ['citrus fruit'], 814, 0.14923804519180242]
[['citrus fruit'], 814, '->', ['other vegetables'], 1903, 0.3488943488943489]
[['condensed milk'], 101, '->', ['citrus fruit'], 814, 0.13861386138613863]
[['long life bakery product'], 368, '->', ['citrus fruit'], 814, 0.11141304347826086]
[['butter'], 545, '->', ['citrus fruit'], 814, 0.1651376146788991]
[['citrus fruit'], 814, '->', ['butter'], 545, 0.11056511056511056]
[['rice'], 75, '->', ['citrus fruit'], 814, 0.24]
[['citrus fruit'], 814, '->', ['rolls/buns'], 1809, 0.20270270270270271]
[['UHT-milk'], 329, '->', ['citrus fruit'], 814, 0.13677811550151975]
[['potted plants'], 170, '->', ['citrus fruit'], 814, 0.12352941176470589]
[['white bread'], 414, '->', ['citrus fruit'], 814, 0.10628019323671498]
[['bottled water'], 1087, '->', ['citrus fruit'], 814, 0.12235510579576817]
[['citrus fruit'], 814, '->', ['bottled water'], 1087, 0.16339066339066338]
[['chocolate'], 488, '->', ['citrus fruit'], 814, 0.1290983606557377]
[['curd'], 524, '->', ['citrus fruit'], 814, 0.13358778625954199]
[['flour'], 171, '->', ['citrus fruit'], 814, 0.1871345029239766]
[['dishes'], 173, '->', ['citrus fruit'], 814, 0.12138728323699421]
[['beef'], 516, '->', ['citrus fruit'], 814, 0.16085271317829458]
[['citrus fruit'], 814, '->', ['beef'], 516, 0.10196560196560196]
[['frankfurter'], 580, '->', ['citrus fruit'], 814, 0.1103448275862069]
[['citrus fruit'], 814, '->', ['soda'], 1715, 0.1547911547911548]
[['chicken'], 422, '->', ['citrus fruit'], 814, 0.16113744075829384]
[['sugar'], 333, '->', ['citrus fruit'], 814, 0.14114114114114115]
[['fruit/vegetable juice'], 711, '->', ['citrus fruit'], 814, 0.14345991561181434]
[['citrus fruit'], 814, '->', ['fruit/vegetable juice'], 711, 0.12530712530712532]
[['newspapers'], 785, '->', ['citrus fruit'], 814, 0.10445859872611465]
[['citrus fruit'], 814, '->', ['newspapers'], 785, 0.10073710073710074]
[['packaged fruit/vegetables'], 128, '->', ['citrus fruit'], 814, 0.1328125]
[['specialty bar'], 269, '->', ['citrus fruit'], 814, 0.10037174721189591]
[['butter milk'], 275, '->', ['citrus fruit'], 814, 0.16]
[['pastry'], 875, '->', ['citrus fruit'], 814, 0.10971428571428571]
[['citrus fruit'], 814, '->', ['pastry'], 875, 0.11793611793611794]
[['processed cheese'], 163, '->', ['citrus fruit'], 814, 0.12883435582822086]
[['detergent'], 189, '->', ['citrus fruit'], 814, 0.12169312169312169]
[['root vegetables'], 1072, '->', ['citrus fruit'], 814, 0.1623134328358209]
[['citrus fruit'], 814, '->', ['root vegetables'], 1072, 0.21375921375921375]
[['frozen dessert'], 106, '->', ['citrus fruit'], 814, 0.1320754716981132]
[['waffles'], 378, '->', ['citrus fruit'], 814, 0.1111111111111111]
[['candy'], 294, '->', ['citrus fruit'], 814, 0.1292517006802721]
[['sausage'], 924, '->', ['citrus fruit'], 814, 0.12012987012987013]
[['citrus fruit'], 814, '->', ['sausage'], 924, 0.13636363636363635]
[['brown bread'], 638, '->', ['citrus fruit'], 814, 0.12852664576802508]
[['citrus fruit'], 814, '->', ['brown bread'], 638, 0.10073710073710074]
[['citrus fruit'], 814, '->', ['shopping bags'], 969, 0.11793611793611794]
[['hamburger meat'], 327, '->', ['citrus fruit'], 814, 0.11926605504587157]
[['hygiene articles'], 324, '->', ['citrus fruit'], 814, 0.16049382716049382]
[['napkins'], 515, '->', ['citrus fruit'], 814, 0.14563106796116504]
[['pork'], 567, '->', ['citrus fruit'], 814, 0.1128747795414462]
[['berries'], 327, '->', ['citrus fruit'], 814, 0.1620795107033639]
[['whipped/sour cream'], 705, '->', ['citrus fruit'], 814, 0.15177304964539007]
[['citrus fruit'], 814, '->', ['whipped/sour cream'], 705, 0.13144963144963145]
[['grapes'], 220, '->', ['citrus fruit'], 814, 0.17272727272727273]
[['dessert'], 365, '->', ['citrus fruit'], 814, 0.11506849315068493]
[['domestic eggs'], 624, '->', ['citrus fruit'], 814, 0.16346153846153846]
[['citrus fruit'], 814, '->', ['domestic eggs'], 624, 0.12530712530712532]
[['spread cheese'], 110, '->', ['citrus fruit'], 814, 0.14545454545454545]
[['hard cheese'], 241, '->', ['citrus fruit'], 814, 0.12863070539419086]
[['cat food'], 229, '->', ['citrus fruit'], 814, 0.1572052401746725]
[['ham'], 256, '->', ['citrus fruit'], 814, 0.109375]
[['turkey'], 80, '->', ['citrus fruit'], 814, 0.2125]
[['baking powder'], 174, '->', ['citrus fruit'], 814, 0.19540229885057472]
[['pickled vegetables'], 176, '->', ['citrus fruit'], 814, 0.17045454545454544]
[['oil'], 276, '->', ['citrus fruit'], 814, 0.17753623188405798]
[['frozen vegetables'], 473, '->', ['citrus fruit'], 814, 0.13742071881606766]
[['canned fish'], 148, '->', ['citrus fruit'], 814, 0.10810810810810811]
[['seasonal products'], 140, '->', ['citrus fruit'], 814, 0.1357142857142857]
[['red/blush wine'], 189, '->', ['citrus fruit'], 814, 0.10582010582010581]
[['candles'], 88, '->', ['citrus fruit'], 814, 0.1590909090909091]
[['flower (seeds)'], 102, '->', ['citrus fruit'], 814, 0.11764705882352941]
[['salt'], 106, '->', ['citrus fruit'], 814, 0.14150943396226415]
[['frozen meals'], 279, '->', ['citrus fruit'], 814, 0.11827956989247312]
[['canned vegetables'], 106, '->', ['citrus fruit'], 814, 0.19811320754716982]
[['onions'], 305, '->', ['citrus fruit'], 814, 0.18032786885245902]
[['herbs'], 160, '->', ['citrus fruit'], 814, 0.18125]
[['sliced cheese'], 241, '->', ['citrus fruit'], 814, 0.14107883817427386]
[['pasta'], 148, '->', ['citrus fruit'], 814, 0.12162162162162163]
[['cling film/bags'], 112, '->', ['citrus fruit'], 814, 0.14285714285714285]
[['canned fruit'], 32, '->', ['citrus fruit'], 814, 0.34375]
[['Instant food products'], 79, '->', ['citrus fruit'], 814, 0.13924050632911392]
[['soft cheese'], 168, '->', ['citrus fruit'], 814, 0.15476190476190477]
[['specialty cheese'], 84, '->', ['citrus fruit'], 814, 0.16666666666666666]
[['dog food'], 84, '->', ['citrus fruit'], 814, 0.16666666666666666]
[['frozen fish'], 115, '->', ['citrus fruit'], 814, 0.1391304347826087]
[['female sanitary products'], 60, '->', ['citrus fruit'], 814, 0.21666666666666667]
[['dish cleaner'], 103, '->', ['citrus fruit'], 814, 0.1553398058252427]
[['meat'], 254, '->', ['citrus fruit'], 814, 0.13385826771653545]
[['mustard'], 118, '->', ['citrus fruit'], 814, 0.15254237288135594]
[['house keeping products'], 82, '->', ['citrus fruit'], 814, 0.15853658536585366]
[['soups'], 67, '->', ['citrus fruit'], 814, 0.23880597014925373]
[['vinegar'], 64, '->', ['citrus fruit'], 814, 0.171875]
[['roll products'], 101, '->', ['citrus fruit'], 814, 0.1485148514851485]
[['mayonnaise'], 90, '->', ['citrus fruit'], 814, 0.12222222222222222]
[['semi-finished bread'], 174, '->', ['margarine'], 576, 0.11494252873563218]
[['semi-finished bread'], 174, '->', ['tropical fruit'], 1032, 0.2413793103448276]
[['semi-finished bread'], 174, '->', ['yogurt'], 1372, 0.20114942528735633]
[['semi-finished bread'], 174, '->', ['whole milk'], 2513, 0.40229885057471265]
[['semi-finished bread'], 174, '->', ['pip fruit'], 744, 0.15517241379310345]
[['semi-finished bread'], 174, '->', ['other vegetables'], 1903, 0.29310344827586204]
[['semi-finished bread'], 174, '->', ['rolls/buns'], 1809, 0.19540229885057472]
[['semi-finished bread'], 174, '->', ['bottled water'], 1087, 0.14367816091954022]
[['semi-finished bread'], 174, '->', ['curd'], 524, 0.11494252873563218]
[['semi-finished bread'], 174, '->', ['frankfurter'], 580, 0.11494252873563218]
[['semi-finished bread'], 174, '->', ['soda'], 1715, 0.22988505747126436]
[['semi-finished bread'], 174, '->', ['fruit/vegetable juice'], 711, 0.13793103448275862]
[['semi-finished bread'], 174, '->', ['newspapers'], 785, 0.14942528735632185]
[['semi-finished bread'], 174, '->', ['pastry'], 875, 0.1839080459770115]
[['semi-finished bread'], 174, '->', ['root vegetables'], 1072, 0.13218390804597702]
[['semi-finished bread'], 174, '->', ['sausage'], 924, 0.16091954022988506]
[['semi-finished bread'], 174, '->', ['shopping bags'], 969, 0.1839080459770115]
[['semi-finished bread'], 174, '->', ['pork'], 567, 0.10344827586206896]
[['semi-finished bread'], 174, '->', ['whipped/sour cream'], 705, 0.13793103448275862]
[['semi-finished bread'], 174, '->', ['frozen vegetables'], 473, 0.12643678160919541]
[['margarine'], 576, '->', ['tropical fruit'], 1032, 0.1597222222222222]
[['yogurt'], 1372, '->', ['margarine'], 576, 0.10204081632653061]
[['margarine'], 576, '->', ['yogurt'], 1372, 0.24305555555555555]
[['margarine'], 576, '->', ['whole milk'], 2513, 0.4131944444444444]
[['pip fruit'], 744, '->', ['margarine'], 576, 0.11290322580645161]
[['margarine'], 576, '->', ['pip fruit'], 744, 0.14583333333333334]
