[['rice'], 75, '->', ['whole milk'], 2513, 0.6133333333333333]
[['cereals'], 56, '->', ['whole milk'], 2513, 0.6428571428571429]
[['baking powder'], 174, '->', ['whole milk'], 2513, 0.5229885057471264]
[['honey'], 15, '->', ['whole milk'], 2513, 0.7333333333333333]
[['cocoa drinks'], 22, '->', ['whole milk'], 2513, 0.5909090909090909]
[['jam'], 53, '->', ['whole milk'], 2513, 0.5471698113207547]
[['pudding powder'], 23, '->', ['whole milk'], 2513, 0.5652173913043478]
[['cooking chocolate'], 25, '->', ['whole milk'], 2513, 0.52]
[['rice'], 75, '->', ['other vegetables'], 1903, 0.52]
[['specialty cheese'], 84, '->', ['other vegetables'], 1903, 0.5]
[['tidbits'], 23, '->', ['rolls/buns'], 1809, 0.5217391304347826]
[['citrus fruit', 'semi-finished bread'], 24, '->', ['whole milk'], 2513, 0.5416666666666666]
[['citrus fruit', 'misc. beverages'], 22, '->', ['tropical fruit'], 1032, 0.5]
[['citrus fruit', 'sliced cheese'], 34, '->', ['yogurt'], 1372, 0.5]
[['citrus fruit', 'cream cheese'], 56, '->', ['whole milk'], 2513, 0.5]
[['citrus fruit', 'butter'], 90, '->', ['whole milk'], 2513, 0.5555555555555556]
[['citrus fruit', 'bottled beer'], 60, '->', ['whole milk'], 2513, 0.5666666666666667]
[['citrus fruit', 'potted plants'], 21, '->', ['whole milk'], 2513, 0.5238095238095238]
[['citrus fruit', 'curd'], 70, '->', ['whole milk'], 2513, 0.5142857142857142]
[['citrus fruit', 'flour'], 32, '->', ['whole milk'], 2513, 0.5]
[['citrus fruit', 'sugar'], 47, '->', ['whole milk'], 2513, 0.574468085106383]
[['citrus fruit', 'pastry'], 96, '->', ['whole milk'], 2513, 0.5]
[['citrus fruit', 'processed cheese'], 21, '->', ['whole milk'], 2513, 0.5238095238095238]
[['citrus fruit', 'detergent'], 23, '->', ['whole milk'], 2513, 0.6086956521739131]
[['citrus fruit', 'root vegetables'], 174, '->', ['whole milk'], 2513, 0.5172413793103449]
[['citrus fruit', 'hamburger meat'], 39, '->', ['whole milk'], 2513, 0.5641025641025641]
[['citrus fruit', 'whipped/sour cream'], 107, '->', ['whole milk'], 2513, 0.5794392523364486]
[['citrus fruit', 'domestic eggs'], 102, '->', ['whole milk'], 2513, 0.5490196078431373]
[['citrus fruit', 'ham'], 28, '->', ['whole milk'], 2513, 0.5357142857142857]
[['citrus fruit', 'baking powder'], 34, '->', ['whole milk'], 2513, 0.5294117647058824]
[['citrus fruit', 'oil'], 49, '->', ['whole milk'], 2513, 0.5102040816326531]
[['citrus fruit', 'frozen vegetables'], 65, '->', ['whole milk'], 2513, 0.5384615384615384]
[['citrus fruit', 'specialty chocolate'], 23, '->', ['whole milk'], 2513, 0.6521739130434783]
[['citrus fruit', 'salt'], 15, '->', ['whole milk'], 2513, 0.7333333333333333]
[['citrus fruit', 'herbs'], 29, '->', ['whole milk'], 2513, 0.6551724137931034]
[['citrus fruit', 'sliced cheese'], 34, '->', ['whole milk'], 2513, 0.5882352941176471]
[['citrus fruit', 'soft cheese'], 26, '->', ['whole milk'], 2513, 0.5769230769230769]
[['citrus fruit', 'meat'], 34, '->', ['whole milk'], 2513, 0.5]
[['citrus fruit', 'cream cheese'], 56, '->', ['other vegetables'], 1903, 0.5178571428571429]
[['citrus fruit', 'butter'], 90, '->', ['other vegetables'], 1903, 0.5]
[['citrus fruit', 'rice'], 18, '->', ['other vegetables'], 1903, 0.6111111111111112]
[['citrus fruit', 'flour'], 32, '->', ['other vegetables'], 1903, 0.53125]
[['citrus fruit', 'chicken'], 68, '->', ['other vegetables'], 1903, 0.5147058823529411]
[['citrus fruit', 'sugar'], 47, '->', ['other vegetables'], 1903, 0.5106382978723404]
[['citrus fruit', 'processed cheese'], 21, '->', ['other vegetables'], 1903, 0.5714285714285714]
[['citrus fruit', 'root vegetables'], 174, '->', ['other vegetables'], 1903, 0.5862068965517241]
[['citrus fruit', 'beverages'], 21, '->', ['other vegetables'], 1903, 0.6190476190476191]
[['citrus fruit', 'pork'], 64, '->', ['other vegetables'], 1903, 0.515625]
[['citrus fruit', 'whipped/sour cream'], 107, '->', ['other vegetables'], 1903, 0.5233644859813084]
[['citrus fruit', 'hard cheese'], 31, '->', ['other vegetables'], 1903, 0.5483870967741935]
[['citrus fruit', 'ham'], 28, '->', ['other vegetables'], 1903, 0.5]
[['citrus fruit', 'pickled vegetables'], 30, '->', ['other vegetables'], 1903, 0.5666666666666667]
[['citrus fruit', 'oil'], 49, '->', ['other vegetables'], 1903, 0.5102040816326531]
[['citrus fruit', 'canned vegetables'], 21, '->', ['other vegetables'], 1903, 0.5238095238095238]
[['citrus fruit', 'onions'], 55, '->', ['other vegetables'], 1903, 0.6363636363636364]
[['citrus fruit', 'herbs'], 29, '->', ['other vegetables'], 1903, 0.7241379310344828]
[['citrus fruit', 'soft cheese'], 26, '->', ['other vegetables'], 1903, 0.5769230769230769]
[['citrus fruit', 'herbs'], 29, '->', ['root vegetables'], 1072, 0.5517241379310345]
[['semi-finished bread', 'tropical fruit'], 42, '->', ['whole milk'], 2513, 0.5]
[['semi-finished bread', 'tropical fruit'], 42, '->', ['other vegetables'], 1903, 0.5238095238095238]
[['semi-finished bread', 'frozen vegetables'], 22, '->', ['tropical fruit'], 1032, 0.5454545454545454]
[['semi-finished bread', 'yogurt'], 35, '->', ['whole milk'], 2513, 0.5714285714285714]
[['semi-finished bread', 'yogurt'], 35, '->', ['other vegetables'], 1903, 0.6285714285714286]
[['semi-finished bread', 'other vegetables'], 51, '->', ['whole milk'], 2513, 0.5098039215686274]
[['semi-finished bread', 'rolls/buns'], 34, '->', ['whole milk'], 2513, 0.5294117647058824]
[['semi-finished bread', 'soda'], 40, '->', ['whole milk'], 2513, 0.55]
[['semi-finished bread', 'fruit/vegetable juice'], 24, '->', ['whole milk'], 2513, 0.625]
[['semi-finished bread', 'newspapers'], 26, '->', ['whole milk'], 2513, 0.5]
[['semi-finished bread', 'pastry'], 32, '->', ['whole milk'], 2513, 0.5625]
[['semi-finished bread', 'root vegetables'], 23, '->', ['whole milk'], 2513, 0.6086956521739131]
[['semi-finished bread', 'whipped/sour cream'], 24, '->', ['whole milk'], 2513, 0.5416666666666666]
[['semi-finished bread', 'curd'], 20, '->', ['other vegetables'], 1903, 0.6]
[['semi-finished bread', 'fruit/vegetable juice'], 24, '->', ['other vegetables'], 1903, 0.5]
[['semi-finished bread', 'sausage'], 28, '->', ['other vegetables'], 1903, 0.5]
