[['margarine'], 576, '->', ['citrus fruit'], 814, 0.13541666666666666]
[['tropical fruit'], 1032, '->', ['citrus fruit'], 814, 0.18992248062015504]
[['citrus fruit'], 814, '->', ['tropical fruit'], 1032, 0.24078624078624078]
[['yogurt'], 1372, '->', ['citrus fruit'], 814, 0.1552478134110787]
[['citrus fruit'], 814, '->', ['yogurt'], 1372, 0.2616707616707617]
[['coffee'], 571, '->', ['citrus fruit'], 814, 0.11033274956217162]
[['whole milk'], 2513, '->', ['citrus fruit'], 814, 0.1193792280143255]
[['citrus fruit'], 814, '->', ['whole milk'], 2513, 0.36855036855036855]
[['pip fruit'], 744, '->', ['citrus fruit'], 814, 0.1827956989247312]
[['citrus fruit'], 814, '->', ['pip fruit'], 744, 0.16707616707616707]
[['other vegetables'], 1903, '->', ['citrus fruit'], 814, 0.14923804519180242]
[['citrus fruit'], 814, '->', ['other vegetables'], 1903, 0.3488943488943489]
[['butter'], 545, '->', ['citrus fruit'], 814, 0.1651376146788991]
[['citrus fruit'], 814, '->', ['butter'], 545, 0.11056511056511056]
[['citrus fruit'], 814, '->', ['rolls/buns'], 1809, 0.20270270270270271]
[['bottled water'], 1087, '->', ['citrus fruit'], 814, 0.12235510579576817]
[['citrus fruit'], 814, '->', ['bottled water'], 1087, 0.16339066339066338]
[['chocolate'], 488, '->', ['citrus fruit'], 814, 0.1290983606557377]
[['curd'], 524, '->', ['citrus fruit'], 814, 0.13358778625954199]
[['beef'], 516, '->', ['citrus fruit'], 814, 0.16085271317829458]
[['citrus fruit'], 814, '->', ['beef'], 516, 0.10196560196560196]
[['frankfurter'], 580, '->', ['citrus fruit'], 814, 0.1103448275862069]
[['citrus fruit'], 814, '->', ['soda'], 1715, 0.1547911547911548]
[['chicken'], 422, '->', ['citrus fruit'], 814, 0.16113744075829384]
[['fruit/vegetable juice'], 711, '->', ['citrus fruit'], 814, 0.14345991561181434]
[['citrus fruit'], 814, '->', ['fruit/vegetable juice'], 711, 0.12530712530712532]
[['newspapers'], 785, '->', ['citrus fruit'], 814, 0.10445859872611465]
[['citrus fruit'], 814, '->', ['newspapers'], 785, 0.10073710073710074]
[['pastry'], 875, '->', ['citrus fruit'], 814, 0.10971428571428571]
[['citrus fruit'], 814, '->', ['pastry'], 875, 0.11793611793611794]
